size,focal_age,comparator_age,hr,lower_95,upper_95
Toy and Small,Spayed/neutered at 0.5 years,0.5,1.000,1.000,1.000
Toy and Small,Spayed/neutered at 0.5 years,1,0.859,0.657,1.122
Toy and Small,Spayed/neutered at 0.5 years,1.5,0.878,0.645,1.195
Toy and Small,Spayed/neutered at 0.5 years,2,0.945,0.696,1.283
Toy and Small,Spayed/neutered at 0.5 years,2.5,0.988,0.721,1.355
Toy and Small,Spayed/neutered at 0.5 years,3,1.006,0.734,1.380
Toy and Small,Spayed/neutered at 0.5 years,3.5,1.005,0.737,1.370
Toy and Small,Spayed/neutered at 0.5 years,4,0.992,0.730,1.347
Toy and Small,Spayed/neutered at 0.5 years,5,0.957,0.700,1.309
Toy and Small,Spayed/neutered at 0.5 years,6,0.924,0.671,1.271
Toy and Small,Spayed/neutered at 1 years,0.5,1.164,0.891,1.521
Toy and Small,Spayed/neutered at 1 years,1,1.000,1.000,1.000
Toy and Small,Spayed/neutered at 1 years,1.5,1.022,0.927,1.128
Toy and Small,Spayed/neutered at 1 years,2,1.100,0.905,1.337
Toy and Small,Spayed/neutered at 1 years,2.5,1.151,0.895,1.479
Toy and Small,Spayed/neutered at 1 years,3,1.172,0.898,1.528
Toy and Small,Spayed/neutered at 1 years,3.5,1.170,0.905,1.514
Toy and Small,Spayed/neutered at 1 years,4,1.155,0.906,1.472
Toy and Small,Spayed/neutered at 1 years,5,1.115,0.884,1.405
Toy and Small,Spayed/neutered at 1 years,6,1.076,0.855,1.354
Toy and Small,Spayed/neutered at 1.5 years,0.5,1.139,0.837,1.550
Toy and Small,Spayed/neutered at 1.5 years,1,0.978,0.886,1.079
Toy and Small,Spayed/neutered at 1.5 years,1.5,1.000,1.000,1.000
Toy and Small,Spayed/neutered at 1.5 years,2,1.076,0.960,1.205
Toy and Small,Spayed/neutered at 1.5 years,2.5,1.125,0.945,1.341
Toy and Small,Spayed/neutered at 1.5 years,3,1.146,0.943,1.393
Toy and Small,Spayed/neutered at 1.5 years,3.5,1.144,0.942,1.391
Toy and Small,Spayed/neutered at 1.5 years,4,1.129,0.931,1.369
Toy and Small,Spayed/neutered at 1.5 years,5,1.090,0.888,1.339
Toy and Small,Spayed/neutered at 1.5 years,6,1.052,0.848,1.304
Toy and Small,Spayed/neutered at 2 years,0.5,1.059,0.779,1.438
Toy and Small,Spayed/neutered at 2 years,1,0.909,0.748,1.105
Toy and Small,Spayed/neutered at 2 years,1.5,0.929,0.830,1.041
Toy and Small,Spayed/neutered at 2 years,2,1.000,1.000,1.000
Toy and Small,Spayed/neutered at 2 years,2.5,1.046,0.982,1.115
Toy and Small,Spayed/neutered at 2 years,3,1.065,0.972,1.168
Toy and Small,Spayed/neutered at 2 years,3.5,1.064,0.952,1.188
Toy and Small,Spayed/neutered at 2 years,4,1.050,0.916,1.203
Toy and Small,Spayed/neutered at 2 years,5,1.013,0.837,1.227
Toy and Small,Spayed/neutered at 2 years,6,0.978,0.787,1.214
Toy and Small,Spayed/neutered at 2.5 years,0.5,1.012,0.738,1.387
Toy and Small,Spayed/neutered at 2.5 years,1,0.869,0.676,1.117
Toy and Small,Spayed/neutered at 2.5 years,1.5,0.888,0.746,1.058
Toy and Small,Spayed/neutered at 2.5 years,2,0.956,0.897,1.019
Toy and Small,Spayed/neutered at 2.5 years,2.5,1.000,1.000,1.000
Toy and Small,Spayed/neutered at 2.5 years,3,1.018,0.982,1.056
Toy and Small,Spayed/neutered at 2.5 years,3.5,1.017,0.944,1.095
Toy and Small,Spayed/neutered at 2.5 years,4,1.003,0.890,1.131
Toy and Small,Spayed/neutered at 2.5 years,5,0.969,0.799,1.174
Toy and Small,Spayed/neutered at 2.5 years,6,0.935,0.747,1.169
Toy and Small,Spayed/neutered at 3 years,0.5,0.994,0.725,1.363
Toy and Small,Spayed/neutered at 3 years,1,0.853,0.654,1.113
Toy and Small,Spayed/neutered at 3 years,1.5,0.873,0.718,1.061
Toy and Small,Spayed/neutered at 3 years,2,0.939,0.856,1.029
Toy and Small,Spayed/neutered at 3 years,2.5,0.982,0.947,1.019
Toy and Small,Spayed/neutered at 3 years,3,1.000,1.000,1.000
Toy and Small,Spayed/neutered at 3 years,3.5,0.999,0.956,1.043
Toy and Small,Spayed/neutered at 3 years,4,0.985,0.897,1.083
Toy and Small,Spayed/neutered at 3 years,5,0.951,0.801,1.130
Toy and Small,Spayed/neutered at 3 years,6,0.918,0.747,1.128
Toy and Small,Spayed/neutered at 3.5 years,0.5,0.995,0.730,1.356
Toy and Small,Spayed/neutered at 3.5 years,1,0.855,0.661,1.106
Toy and Small,Spayed/neutered at 3.5 years,1.5,0.874,0.719,1.062
Toy and Small,Spayed/neutered at 3.5 years,2,0.940,0.842,1.050
Toy and Small,Spayed/neutered at 3.5 years,2.5,0.983,0.913,1.059
Toy and Small,Spayed/neutered at 3.5 years,3,1.001,0.958,1.046
Toy and Small,Spayed/neutered at 3.5 years,3.5,1.000,1.000,1.000
Toy and Small,Spayed/neutered at 3.5 years,4,0.987,0.937,1.039
Toy and Small,Spayed/neutered at 3.5 years,5,0.953,0.836,1.086
Toy and Small,Spayed/neutered at 3.5 years,6,0.919,0.778,1.086
Toy and Small,Spayed/neutered at 4 years,0.5,1.008,0.743,1.369
Toy and Small,Spayed/neutered at 4 years,1,0.866,0.679,1.104
Toy and Small,Spayed/neutered at 4 years,1.5,0.885,0.730,1.074
Toy and Small,Spayed/neutered at 4 years,2,0.953,0.831,1.092
Toy and Small,Spayed/neutered at 4 years,2.5,0.997,0.884,1.123
Toy and Small,Spayed/neutered at 4 years,3,1.015,0.924,1.115
Toy and Small,Spayed/neutered at 4 years,3.5,1.013,0.963,1.067
Toy and Small,Spayed/neutered at 4 years,4,1.000,1.000,1.000
Toy and Small,Spayed/neutered at 4 years,5,0.965,0.891,1.046
Toy and Small,Spayed/neutered at 4 years,6,0.931,0.827,1.049
Toy and Small,Spayed/neutered at 5 years,0.5,1.045,0.764,1.429
Toy and Small,Spayed/neutered at 5 years,1,0.897,0.712,1.131
Toy and Small,Spayed/neutered at 5 years,1.5,0.917,0.747,1.127
Toy and Small,Spayed/neutered at 5 years,2,0.987,0.815,1.195
Toy and Small,Spayed/neutered at 5 years,2.5,1.032,0.852,1.252
Toy and Small,Spayed/neutered at 5 years,3,1.051,0.885,1.249
Toy and Small,Spayed/neutered at 5 years,3.5,1.050,0.921,1.197
Toy and Small,Spayed/neutered at 5 years,4,1.036,0.956,1.122
Toy and Small,Spayed/neutered at 5 years,5,1.000,1.000,1.000
Toy and Small,Spayed/neutered at 5 years,6,0.965,0.923,1.009
Toy and Small,Spayed/neutered at 6 years,0.5,1.083,0.787,1.489
Toy and Small,Spayed/neutered at 6 years,1,0.930,0.739,1.170
Toy and Small,Spayed/neutered at 6 years,1.5,0.951,0.767,1.179
Toy and Small,Spayed/neutered at 6 years,2,1.023,0.823,1.270
Toy and Small,Spayed/neutered at 6 years,2.5,1.070,0.855,1.338
Toy and Small,Spayed/neutered at 6 years,3,1.089,0.886,1.339
Toy and Small,Spayed/neutered at 6 years,3.5,1.088,0.920,1.286
Toy and Small,Spayed/neutered at 6 years,4,1.074,0.953,1.209
Toy and Small,Spayed/neutered at 6 years,5,1.036,0.991,1.083
Toy and Small,Spayed/neutered at 6 years,6,1.000,1.000,1.000
Standard,Spayed/neutered at 0.5 years,0.5,1.000,1.000,1.000
Standard,Spayed/neutered at 0.5 years,1,0.903,0.665,1.226
Standard,Spayed/neutered at 0.5 years,1.5,0.933,0.656,1.326
Standard,Spayed/neutered at 0.5 years,2,0.981,0.687,1.401
Standard,Spayed/neutered at 0.5 years,2.5,0.980,0.678,1.415
Standard,Spayed/neutered at 0.5 years,3,0.937,0.650,1.350
Standard,Spayed/neutered at 0.5 years,3.5,0.871,0.607,1.251
Standard,Spayed/neutered at 0.5 years,4,0.801,0.553,1.161
Standard,Spayed/neutered at 0.5 years,5,0.693,0.460,1.043
Standard,Spayed/neutered at 0.5 years,6,0.627,0.409,0.960
Standard,Spayed/neutered at 1 years,0.5,1.108,0.816,1.505
Standard,Spayed/neutered at 1 years,1,1.000,1.000,1.000
Standard,Spayed/neutered at 1 years,1.5,1.033,0.914,1.168
Standard,Spayed/neutered at 1 years,2,1.087,0.852,1.387
Standard,Spayed/neutered at 1 years,2.5,1.085,0.801,1.471
Standard,Spayed/neutered at 1 years,3,1.038,0.758,1.419
Standard,Spayed/neutered at 1 years,3.5,0.965,0.714,1.305
Standard,Spayed/neutered at 1 years,4,0.888,0.661,1.193
Standard,Spayed/neutered at 1 years,5,0.767,0.560,1.051
Standard,Spayed/neutered at 1 years,6,0.694,0.501,0.962
Standard,Spayed/neutered at 1.5 years,0.5,1.072,0.754,1.525
Standard,Spayed/neutered at 1.5 years,1,0.968,0.856,1.094
Standard,Spayed/neutered at 1.5 years,1.5,1.000,1.000,1.000
Standard,Spayed/neutered at 1.5 years,2,1.052,0.916,1.208
Standard,Spayed/neutered at 1.5 years,2.5,1.050,0.854,1.292
Standard,Spayed/neutered at 1.5 years,3,1.004,0.800,1.261
Standard,Spayed/neutered at 1.5 years,3.5,0.934,0.738,1.182
Standard,Spayed/neutered at 1.5 years,4,0.859,0.665,1.111
Standard,Spayed/neutered at 1.5 years,5,0.743,0.541,1.018
Standard,Spayed/neutered at 1.5 years,6,0.672,0.478,0.944
Standard,Spayed/neutered at 2 years,0.5,1.019,0.714,1.455
Standard,Spayed/neutered at 2 years,1,0.920,0.721,1.174
Standard,Spayed/neutered at 2 years,1.5,0.950,0.828,1.091
Standard,Spayed/neutered at 2 years,2,1.000,1.000,1.000
Standard,Spayed/neutered at 2 years,2.5,0.998,0.927,1.075
Standard,Spayed/neutered at 2 years,3,0.954,0.849,1.072
Standard,Spayed/neutered at 2 years,3.5,0.888,0.752,1.048
Standard,Spayed/neutered at 2 years,4,0.817,0.648,1.028
Standard,Spayed/neutered at 2 years,5,0.706,0.505,0.986
Standard,Spayed/neutered at 2 years,6,0.639,0.440,0.926
Standard,Spayed/neutered at 2.5 years,0.5,1.021,0.707,1.474
Standard,Spayed/neutered at 2.5 years,1,0.921,0.680,1.249
Standard,Spayed/neutered at 2.5 years,1.5,0.952,0.774,1.171
Standard,Spayed/neutered at 2.5 years,2,1.002,0.930,1.079
Standard,Spayed/neutered at 2.5 years,2.5,1.000,1.000,1.000
Standard,Spayed/neutered at 2.5 years,3,0.956,0.901,1.014
Standard,Spayed/neutered at 2.5 years,3.5,0.889,0.779,1.015
Standard,Spayed/neutered at 2.5 years,4,0.818,0.661,1.013
Standard,Spayed/neutered at 2.5 years,5,0.707,0.507,0.986
Standard,Spayed/neutered at 2.5 years,6,0.640,0.439,0.932
Standard,Spayed/neutered at 3 years,0.5,1.068,0.741,1.539
Standard,Spayed/neutered at 3 years,1,0.964,0.705,1.319
Standard,Spayed/neutered at 3 years,1.5,0.996,0.793,1.250
Standard,Spayed/neutered at 3 years,2,1.048,0.933,1.177
Standard,Spayed/neutered at 3 years,2.5,1.046,0.986,1.109
Standard,Spayed/neutered at 3 years,3,1.000,1.000,1.000
Standard,Spayed/neutered at 3 years,3.5,0.930,0.860,1.006
Standard,Spayed/neutered at 3 years,4,0.856,0.726,1.008
Standard,Spayed/neutered at 3 years,5,0.739,0.554,0.987
Standard,Spayed/neutered at 3 years,6,0.669,0.478,0.938
Standard,Spayed/neutered at 3.5 years,0.5,1.148,0.799,1.649
Standard,Spayed/neutered at 3.5 years,1,1.036,0.766,1.401
Standard,Spayed/neutered at 3.5 years,1.5,1.071,0.846,1.355
Standard,Spayed/neutered at 3.5 years,2,1.126,0.954,1.330
Standard,Spayed/neutered at 3.5 years,2.5,1.125,0.986,1.283
Standard,Spayed/neutered at 3.5 years,3,1.075,0.994,1.163
Standard,Spayed/neutered at 3.5 years,3.5,1.000,1.000,1.000
Standard,Spayed/neutered at 3.5 years,4,0.920,0.843,1.003
Standard,Spayed/neutered at 3.5 years,5,0.795,0.642,0.984
Standard,Spayed/neutered at 3.5 years,6,0.719,0.550,0.942
Standard,Spayed/neutered at 4 years,0.5,1.248,0.861,1.809
Standard,Spayed/neutered at 4 years,1,1.126,0.838,1.514
Standard,Spayed/neutered at 4 years,1.5,1.164,0.900,1.505
Standard,Spayed/neutered at 4 years,2,1.225,0.972,1.542
Standard,Spayed/neutered at 4 years,2.5,1.223,0.987,1.514
Standard,Spayed/neutered at 4 years,3,1.169,0.992,1.377
Standard,Spayed/neutered at 4 years,3.5,1.087,0.997,1.186
Standard,Spayed/neutered at 4 years,4,1.000,1.000,1.000
Standard,Spayed/neutered at 4 years,5,0.864,0.760,0.983
Standard,Spayed/neutered at 4 years,6,0.782,0.645,0.949
Standard,Spayed/neutered at 5 years,0.5,1.444,0.959,2.175
Standard,Spayed/neutered at 5 years,1,1.303,0.951,1.786
Standard,Spayed/neutered at 5 years,1.5,1.347,0.982,1.847
Standard,Spayed/neutered at 5 years,2,1.417,1.014,1.981
Standard,Spayed/neutered at 5 years,2.5,1.415,1.014,1.973
Standard,Spayed/neutered at 5 years,3,1.352,1.014,1.805
Standard,Spayed/neutered at 5 years,3.5,1.258,1.016,1.558
Standard,Spayed/neutered at 5 years,4,1.157,1.017,1.316
Standard,Spayed/neutered at 5 years,5,1.000,1.000,1.000
Standard,Spayed/neutered at 5 years,6,0.905,0.832,0.984
Standard,Spayed/neutered at 6 years,0.5,1.596,1.041,2.445
Standard,Spayed/neutered at 6 years,1,1.440,1.039,1.996
Standard,Spayed/neutered at 6 years,1.5,1.488,1.060,2.090
Standard,Spayed/neutered at 6 years,2,1.566,1.080,2.271
Standard,Spayed/neutered at 6 years,2.5,1.563,1.073,2.277
Standard,Spayed/neutered at 6 years,3,1.494,1.066,2.094
Standard,Spayed/neutered at 6 years,3.5,1.390,1.062,1.820
Standard,Spayed/neutered at 6 years,4,1.279,1.054,1.551
Standard,Spayed/neutered at 6 years,5,1.105,1.016,1.201
Standard,Spayed/neutered at 6 years,6,1.000,1.000,1.000
Medium,Spayed/neutered at 0.5 years,0.5,1.000,1.000,1.000
Medium,Spayed/neutered at 0.5 years,1,0.795,0.535,1.181
Medium,Spayed/neutered at 0.5 years,1.5,0.925,0.594,1.440
Medium,Spayed/neutered at 0.5 years,2,1.144,0.719,1.818
Medium,Spayed/neutered at 0.5 years,2.5,1.237,0.751,2.036
Medium,Spayed/neutered at 0.5 years,3,1.198,0.725,1.979
Medium,Spayed/neutered at 0.5 years,3.5,1.084,0.665,1.767
Medium,Spayed/neutered at 0.5 years,4,0.955,0.588,1.551
Medium,Spayed/neutered at 0.5 years,5,0.791,0.470,1.329
Medium,Spayed/neutered at 0.5 years,6,0.747,0.434,1.284
Medium,Spayed/neutered at 1 years,0.5,1.258,0.847,1.869
Medium,Spayed/neutered at 1 years,1,1.000,1.000,1.000
Medium,Spayed/neutered at 1 years,1.5,1.163,0.972,1.393
Medium,Spayed/neutered at 1 years,2,1.439,0.985,2.101
Medium,Spayed/neutered at 1 years,2.5,1.556,0.960,2.523
Medium,Spayed/neutered at 1 years,3,1.507,0.906,2.507
Medium,Spayed/neutered at 1 years,3.5,1.363,0.832,2.234
Medium,Spayed/neutered at 1 years,4,1.201,0.747,1.931
Medium,Spayed/neutered at 1 years,5,0.995,0.616,1.607
Medium,Spayed/neutered at 1 years,6,0.939,0.576,1.531
Medium,Spayed/neutered at 1.5 years,0.5,1.081,0.695,1.683
Medium,Spayed/neutered at 1.5 years,1,0.860,0.718,1.029
Medium,Spayed/neutered at 1.5 years,1.5,1.000,1.000,1.000
Medium,Spayed/neutered at 1.5 years,2,1.237,0.995,1.537
Medium,Spayed/neutered at 1.5 years,2.5,1.337,0.960,1.864
Medium,Spayed/neutered at 1.5 years,3,1.295,0.895,1.876
Medium,Spayed/neutered at 1.5 years,3.5,1.172,0.803,1.710
Medium,Spayed/neutered at 1.5 years,4,1.032,0.698,1.527
Medium,Spayed/neutered at 1.5 years,5,0.855,0.543,1.346
Medium,Spayed/neutered at 1.5 years,6,0.807,0.496,1.315
Medium,Spayed/neutered at 2 years,0.5,0.874,0.550,1.390
Medium,Spayed/neutered at 2 years,1,0.695,0.476,1.015
Medium,Spayed/neutered at 2 years,1.5,0.809,0.651,1.005
Medium,Spayed/neutered at 2 years,2,1.000,1.000,1.000
Medium,Spayed/neutered at 2 years,2.5,1.082,0.959,1.220
Medium,Spayed/neutered at 2 years,3,1.048,0.874,1.256
Medium,Spayed/neutered at 2 years,3.5,0.948,0.748,1.201
Medium,Spayed/neutered at 2 years,4,0.835,0.611,1.141
Medium,Spayed/neutered at 2 years,5,0.691,0.440,1.086
