Breed Size,Sex,Reference Age,Comparison Age,HR,Lower 95%,Upper 95%,E-value,E-value Lower 95%
Toy and Small,Female,0.5,0.5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,0.5,1,1.198,1.133,1.268,1.523,1.404
Toy and Small,Female,0.5,1.5,1.344,1.260,1.434,1.756,1.625
Toy and Small,Female,0.5,2,1.447,1.342,1.560,1.905,1.753
Toy and Small,Female,0.5,2.5,1.521,1.401,1.652,2.007,1.839
Toy and Small,Female,0.5,3,1.571,1.449,1.703,2.074,1.907
Toy and Small,Female,0.5,3.5,1.600,1.484,1.726,2.113,1.956
Toy and Small,Female,0.5,4,1.616,1.501,1.739,2.133,1.980
Toy and Small,Female,0.5,4.5,1.624,1.504,1.753,2.144,1.984
Toy and Small,Female,0.5,5,1.628,1.501,1.766,2.150,1.981
Toy and Small,Female,0.5,5.5,1.630,1.498,1.773,2.152,1.976
Toy and Small,Female,0.5,6,1.629,1.495,1.774,2.151,1.972
Toy and Small,Female,1,0.5,0.834,0.789,0.883,1.523,
Toy and Small,Female,1,1,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,1,1.5,1.122,1.086,1.159,1.383,1.308
Toy and Small,Female,1,2,1.207,1.128,1.292,1.538,1.395
Toy and Small,Female,1,2.5,1.269,1.167,1.381,1.640,1.467
Toy and Small,Female,1,3,1.311,1.203,1.428,1.705,1.531
Toy and Small,Female,1,3.5,1.335,1.232,1.448,1.742,1.579
Toy and Small,Female,1,4,1.348,1.248,1.456,1.761,1.606
Toy and Small,Female,1,4.5,1.355,1.254,1.464,1.771,1.615
Toy and Small,Female,1,5,1.359,1.254,1.472,1.777,1.615
Toy and Small,Female,1,5.5,1.360,1.253,1.477,1.779,1.613
Toy and Small,Female,1,6,1.359,1.251,1.477,1.778,1.610
Toy and Small,Female,1.5,0.5,0.744,0.697,0.794,1.756,
Toy and Small,Female,1.5,1,0.891,0.863,0.921,1.383,
Toy and Small,Female,1.5,1.5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,1.5,2,1.076,1.037,1.117,1.287,1.186
Toy and Small,Female,1.5,2.5,1.131,1.070,1.196,1.401,1.273
Toy and Small,Female,1.5,3,1.168,1.100,1.241,1.470,1.339
Toy and Small,Female,1.5,3.5,1.190,1.120,1.265,1.509,1.379
Toy and Small,Female,1.5,4,1.202,1.125,1.284,1.528,1.389
Toy and Small,Female,1.5,4.5,1.208,1.121,1.301,1.539,1.381
Toy and Small,Female,1.5,5,1.211,1.115,1.315,1.544,1.369
Toy and Small,Female,1.5,5.5,1.212,1.110,1.324,1.546,1.359
Toy and Small,Female,1.5,6,1.211,1.107,1.326,1.545,1.352
Toy and Small,Female,2,0.5,0.691,0.641,0.745,1.905,
Toy and Small,Female,2,1,0.828,0.774,0.886,1.538,
Toy and Small,Female,2,1.5,0.929,0.895,0.965,1.287,
Toy and Small,Female,2,2,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,2,2.5,1.051,1.031,1.072,1.226,1.169
Toy and Small,Female,2,3,1.086,1.054,1.118,1.307,1.232
Toy and Small,Female,2,3.5,1.106,1.060,1.154,1.351,1.248
Toy and Small,Female,2,4,1.117,1.051,1.186,1.372,1.227
Toy and Small,Female,2,4.5,1.122,1.039,1.212,1.383,1.192
Toy and Small,Female,2,5,1.125,1.028,1.232,1.389,1.161
Toy and Small,Female,2,5.5,1.126,1.021,1.243,1.392,1.136
Toy and Small,Female,2,6,1.126,1.016,1.247,1.390,1.117
Toy and Small,Female,2.5,0.5,0.657,0.605,0.714,2.007,
Toy and Small,Female,2.5,1,0.788,0.724,0.857,1.640,
Toy and Small,Female,2.5,1.5,0.884,0.836,0.934,1.401,
Toy and Small,Female,2.5,2,0.951,0.933,0.970,1.226,
Toy and Small,Female,2.5,2.5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,2.5,3,1.033,1.017,1.048,1.174,1.121
Toy and Small,Female,2.5,3.5,1.052,1.016,1.089,1.228,1.118
Toy and Small,Female,2.5,4,1.062,1.003,1.124,1.254,1.051
Toy and Small,Female,2.5,4.5,1.067,0.989,1.153,1.266,1.000
Toy and Small,Female,2.5,5,1.070,0.977,1.172,1.273,1.000
Toy and Small,Female,2.5,5.5,1.071,0.969,1.184,1.276,1.000
Toy and Small,Female,2.5,6,1.071,0.964,1.189,1.274,1.000
Toy and Small,Female,3,0.5,0.637,0.587,0.690,2.074,
Toy and Small,Female,3,1,0.763,0.700,0.831,1.705,
Toy and Small,Female,3,1.5,0.856,0.806,0.909,1.470,
Toy and Small,Female,3,2,0.921,0.894,0.949,1.307,
Toy and Small,Female,3,2.5,0.968,0.954,0.983,1.174,
Toy and Small,Female,3,3,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,3,3.5,1.019,0.998,1.040,1.128,1.000
Toy and Small,Female,3,4,1.029,0.984,1.075,1.162,1.000
Toy and Small,Female,3,4.5,1.034,0.969,1.103,1.178,1.000
Toy and Small,Female,3,5,1.037,0.957,1.123,1.186,1.000
Toy and Small,Female,3,5.5,1.038,0.949,1.134,1.189,1.000
Toy and Small,Female,3,6,1.037,0.943,1.140,1.187,1.000
Toy and Small,Female,3.5,0.5,0.625,0.579,0.674,2.113,
Toy and Small,Female,3.5,1,0.749,0.691,0.812,1.742,
Toy and Small,Female,3.5,1.5,0.840,0.790,0.893,1.509,
Toy and Small,Female,3.5,2,0.904,0.867,0.943,1.351,
Toy and Small,Female,3.5,2.5,0.951,0.918,0.984,1.228,
Toy and Small,Female,3.5,3,0.982,0.961,1.002,1.128,
Toy and Small,Female,3.5,3.5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,3.5,4,1.010,0.986,1.034,1.089,1.000
Toy and Small,Female,3.5,4.5,1.015,0.971,1.061,1.111,1.000
Toy and Small,Female,3.5,5,1.017,0.959,1.080,1.123,1.000
Toy and Small,Female,3.5,5.5,1.018,0.950,1.092,1.127,1.000
Toy and Small,Female,3.5,6,1.018,0.944,1.098,1.124,1.000
Toy and Small,Female,4,0.5,0.619,0.575,0.666,2.133,
Toy and Small,Female,4,1,0.742,0.687,0.801,1.761,
Toy and Small,Female,4,1.5,0.832,0.779,0.889,1.528,
Toy and Small,Female,4,2,0.896,0.843,0.951,1.372,
Toy and Small,Female,4,2.5,0.941,0.889,0.997,1.254,
Toy and Small,Female,4,3,0.972,0.930,1.016,1.162,
Toy and Small,Female,4,3.5,0.990,0.967,1.014,1.089,
Toy and Small,Female,4,4,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,4,4.5,1.005,0.984,1.026,1.062,1.000
Toy and Small,Female,4,5,1.008,0.972,1.045,1.079,1.000
Toy and Small,Female,4,5.5,1.009,0.963,1.057,1.084,1.000
Toy and Small,Female,4,6,1.008,0.956,1.064,1.081,1.000
Toy and Small,Female,4.5,0.5,0.616,0.570,0.665,2.144,
Toy and Small,Female,4.5,1,0.738,0.683,0.798,1.771,
Toy and Small,Female,4.5,1.5,0.828,0.768,0.892,1.539,
Toy and Small,Female,4.5,2,0.891,0.825,0.963,1.383,
Toy and Small,Female,4.5,2.5,0.937,0.868,1.012,1.266,
Toy and Small,Female,4.5,3,0.967,0.907,1.032,1.178,
Toy and Small,Female,4.5,3.5,0.986,0.943,1.030,1.111,
Toy and Small,Female,4.5,4,0.995,0.975,1.016,1.062,
Toy and Small,Female,4.5,4.5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,4.5,5,1.003,0.987,1.018,1.046,1.000
Toy and Small,Female,4.5,5.5,1.004,0.978,1.031,1.054,1.000
Toy and Small,Female,4.5,6,1.003,0.969,1.038,1.049,1.000
Toy and Small,Female,5,0.5,0.614,0.566,0.666,2.150,
Toy and Small,Female,5,1,0.736,0.679,0.798,1.777,
Toy and Small,Female,5,1.5,0.826,0.760,0.897,1.544,
Toy and Small,Female,5,2,0.889,0.812,0.973,1.389,
Toy and Small,Female,5,2.5,0.934,0.853,1.023,1.273,
Toy and Small,Female,5,3,0.965,0.891,1.045,1.186,
Toy and Small,Female,5,3.5,0.983,0.926,1.043,1.123,
Toy and Small,Female,5,4,0.992,0.957,1.029,1.079,
Toy and Small,Female,5,4.5,0.997,0.982,1.013,1.046,
Toy and Small,Female,5,5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,5,5.5,1.001,0.990,1.012,1.027,1.000
Toy and Small,Female,5,6,1.000,0.980,1.021,1.015,1.000
Toy and Small,Female,5.5,0.5,0.614,0.564,0.667,2.152,
Toy and Small,Female,5.5,1,0.735,0.677,0.798,1.779,
Toy and Small,Female,5.5,1.5,0.825,0.755,0.901,1.546,
Toy and Small,Female,5.5,2,0.888,0.805,0.979,1.392,
Toy and Small,Female,5.5,2.5,0.933,0.844,1.032,1.276,
Toy and Small,Female,5.5,3,0.964,0.881,1.054,1.189,
Toy and Small,Female,5.5,3.5,0.982,0.916,1.053,1.127,
Toy and Small,Female,5.5,4,0.991,0.946,1.039,1.084,
Toy and Small,Female,5.5,4.5,0.996,0.970,1.023,1.054,
Toy and Small,Female,5.5,5,0.999,0.988,1.010,1.027,
Toy and Small,Female,5.5,5.5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Female,5.5,6,0.999,0.990,1.009,1.022,
Toy and Small,Female,6,0.5,0.614,0.564,0.669,2.151,
Toy and Small,Female,6,1,0.736,0.677,0.799,1.778,
Toy and Small,Female,6,1.5,0.825,0.754,0.904,1.545,
Toy and Small,Female,6,2,0.888,0.802,0.984,1.390,
Toy and Small,Female,6,2.5,0.934,0.841,1.037,1.274,
Toy and Small,Female,6,3,0.964,0.877,1.060,1.187,
Toy and Small,Female,6,3.5,0.982,0.911,1.060,1.124,
Toy and Small,Female,6,4,0.992,0.940,1.047,1.081,
Toy and Small,Female,6,4.5,0.997,0.963,1.032,1.049,
Toy and Small,Female,6,5,1.000,0.979,1.020,1.015,
Toy and Small,Female,6,5.5,1.001,0.991,1.010,1.022,1.000
Toy and Small,Female,6,6,1.000,1.000,1.000,1.000,1.000
Toy and Small,Male,0.5,0.5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Male,0.5,1,1.139,1.078,1.204,1.416,1.291
Toy and Small,Male,0.5,1.5,1.322,1.241,1.408,1.722,1.594
Toy and Small,Male,0.5,2,1.512,1.405,1.628,1.996,1.846
Toy and Small,Male,0.5,2.5,1.675,1.546,1.816,2.211,2.040
Toy and Small,Male,0.5,3,1.803,1.666,1.951,2.371,2.199
Toy and Small,Male,0.5,3.5,1.897,1.762,2.043,2.485,2.320
Toy and Small,Male,0.5,4,1.962,1.825,2.110,2.562,2.398
Toy and Small,Male,0.5,4.5,2.007,1.860,2.166,2.615,2.441
Toy and Small,Male,0.5,5,2.037,1.879,2.208,2.649,2.463
Toy and Small,Male,0.5,5.5,2.053,1.888,2.233,2.668,2.474
Toy and Small,Male,0.5,6,2.057,1.888,2.240,2.672,2.475
Toy and Small,Male,1,0.5,0.878,0.831,0.927,1.416,
Toy and Small,Male,1,1,1.000,1.000,1.000,1.000,1.000
Toy and Small,Male,1,1.5,1.160,1.124,1.198,1.455,1.386
Toy and Small,Male,1,2,1.327,1.242,1.418,1.730,1.597
Toy and Small,Male,1,2.5,1.470,1.355,1.596,1.938,1.771
Toy and Small,Male,1,3,1.583,1.456,1.720,2.090,1.918
Toy and Small,Male,1,3.5,1.665,1.539,1.801,2.198,2.032
Toy and Small,Male,1,4,1.722,1.598,1.857,2.271,2.110
Toy and Small,Male,1,4.5,1.762,1.633,1.901,2.320,2.156
Toy and Small,Male,1,5,1.788,1.652,1.935,2.352,2.181
Toy and Small,Male,1,5.5,1.802,1.661,1.955,2.370,2.193
Toy and Small,Male,1,6,1.805,1.663,1.960,2.374,2.195
Toy and Small,Male,1.5,0.5,0.757,0.710,0.806,1.722,
Toy and Small,Male,1.5,1,0.862,0.835,0.890,1.455,
Toy and Small,Male,1.5,1.5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Male,1.5,2,1.144,1.103,1.187,1.426,1.345
Toy and Small,Male,1.5,2.5,1.267,1.201,1.337,1.637,1.527
Toy and Small,Male,1.5,3,1.364,1.287,1.446,1.785,1.668
Toy and Small,Male,1.5,3.5,1.435,1.353,1.523,1.888,1.768
Toy and Small,Male,1.5,4,1.485,1.392,1.584,1.957,1.826
Toy and Small,Male,1.5,4.5,1.518,1.411,1.635,2.004,1.853
Toy and Small,Male,1.5,5,1.541,1.420,1.673,2.034,1.866
Toy and Small,Male,1.5,5.5,1.553,1.423,1.695,2.051,1.871
Toy and Small,Male,1.5,6,1.556,1.422,1.702,2.054,1.870
Toy and Small,Male,2,0.5,0.661,0.614,0.712,1.996,
Toy and Small,Male,2,1,0.753,0.705,0.805,1.730,
Toy and Small,Male,2,1.5,0.874,0.843,0.906,1.426,
Toy and Small,Male,2,2,1.000,1.000,1.000,1.000,1.000
Toy and Small,Male,2,2.5,1.108,1.087,1.129,1.354,1.310
Toy and Small,Male,2,3,1.192,1.158,1.227,1.512,1.451
Toy and Small,Male,2,3.5,1.254,1.203,1.308,1.616,1.530
Toy and Small,Male,2,4,1.298,1.222,1.377,1.684,1.563
Toy and Small,Male,2,4.5,1.327,1.229,1.433,1.730,1.574
Toy and Small,Male,2,5,1.347,1.231,1.473,1.759,1.578
Toy and Small,Male,2,5.5,1.357,1.231,1.497,1.775,1.578
Toy and Small,Male,2,6,1.360,1.228,1.506,1.779,1.573
Toy and Small,Male,2.5,0.5,0.597,0.551,0.647,2.211,
Toy and Small,Male,2.5,1,0.680,0.627,0.738,1.938,
Toy and Small,Male,2.5,1.5,0.789,0.748,0.833,1.637,
Toy and Small,Male,2.5,2,0.903,0.886,0.920,1.354,
Toy and Small,Male,2.5,2.5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Male,2.5,3,1.076,1.060,1.093,1.287,1.249
Toy and Small,Male,2.5,3.5,1.133,1.094,1.172,1.403,1.326
Toy and Small,Male,2.5,4,1.171,1.107,1.240,1.476,1.353
Toy and Small,Male,2.5,4.5,1.198,1.110,1.293,1.522,1.359
Toy and Small,Male,2.5,5,1.216,1.111,1.331,1.553,1.361
Toy and Small,Male,2.5,5.5,1.226,1.110,1.354,1.569,1.358
Toy and Small,Male,2.5,6,1.228,1.106,1.363,1.572,1.351
Toy and Small,Male,3,0.5,0.555,0.512,0.600,2.371,
Toy and Small,Male,3,1,0.632,0.581,0.687,2.090,
Toy and Small,Male,3,1.5,0.733,0.692,0.777,1.785,
Toy and Small,Male,3,2,0.839,0.815,0.864,1.512,
Toy and Small,Male,3,2.5,0.929,0.915,0.943,1.287,
Toy and Small,Male,3,3,1.000,1.000,1.000,1.000,1.000
Toy and Small,Male,3,3.5,1.052,1.031,1.074,1.229,1.168
Toy and Small,Male,3,4,1.088,1.041,1.137,1.314,1.200
Toy and Small,Male,3,4.5,1.113,1.044,1.187,1.365,1.206
Toy and Small,Male,3,5,1.130,1.044,1.222,1.398,1.207
Toy and Small,Male,3,5.5,1.139,1.042,1.244,1.415,1.202
Toy and Small,Male,3,6,1.141,1.038,1.253,1.419,1.191
Toy and Small,Male,3.5,0.5,0.527,0.489,0.568,2.485,
Toy and Small,Male,3.5,1,0.601,0.555,0.650,2.198,
Toy and Small,Male,3.5,1.5,0.697,0.657,0.739,1.888,
Toy and Small,Male,3.5,2,0.797,0.764,0.831,1.616,
Toy and Small,Male,3.5,2.5,0.883,0.853,0.914,1.403,
Toy and Small,Male,3.5,3,0.950,0.931,0.970,1.229,
Toy and Small,Male,3.5,3.5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Male,3.5,4,1.034,1.010,1.059,1.180,1.092
Toy and Small,Male,3.5,4.5,1.058,1.012,1.106,1.243,1.101
Toy and Small,Male,3.5,5,1.074,1.012,1.139,1.281,1.101
Toy and Small,Male,3.5,5.5,1.082,1.010,1.159,1.300,1.091
Toy and Small,Male,3.5,6,1.084,1.006,1.168,1.304,1.068
Toy and Small,Male,4,0.5,0.510,0.474,0.548,2.562,
Toy and Small,Male,4,1,0.581,0.539,0.626,2.271,
Toy and Small,Male,4,1.5,0.674,0.631,0.719,1.957,
Toy and Small,Male,4,2,0.771,0.726,0.818,1.684,
Toy and Small,Male,4,2.5,0.854,0.807,0.903,1.476,
Toy and Small,Male,4,3,0.919,0.879,0.960,1.314,
Toy and Small,Male,4,3.5,0.967,0.944,0.990,1.180,
Toy and Small,Male,4,4,1.000,1.000,1.000,1.000,1.000
Toy and Small,Male,4,4.5,1.023,1.002,1.044,1.142,1.037
Toy and Small,Male,4,5,1.038,1.002,1.076,1.190,1.033
Toy and Small,Male,4,5.5,1.046,0.999,1.096,1.213,1.000
Toy and Small,Male,4,6,1.048,0.994,1.105,1.218,1.000
Toy and Small,Male,4.5,0.5,0.498,0.462,0.538,2.615,
Toy and Small,Male,4.5,1,0.568,0.526,0.612,2.320,
Toy and Small,Male,4.5,1.5,0.659,0.612,0.709,2.004,
Toy and Small,Male,4.5,2,0.754,0.698,0.814,1.730,
Toy and Small,Male,4.5,2.5,0.835,0.773,0.901,1.522,
Toy and Small,Male,4.5,3,0.898,0.842,0.958,1.365,
Toy and Small,Male,4.5,3.5,0.945,0.904,0.988,1.243,
Toy and Small,Male,4.5,4,0.978,0.958,0.998,1.142,
Toy and Small,Male,4.5,4.5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Male,4.5,5,1.015,0.999,1.030,1.112,1.000
Toy and Small,Male,4.5,5.5,1.023,0.996,1.050,1.142,1.000
Toy and Small,Male,4.5,6,1.025,0.990,1.060,1.149,1.000
Toy and Small,Male,5,0.5,0.491,0.453,0.532,2.649,
Toy and Small,Male,5,1,0.559,0.517,0.605,2.352,
Toy and Small,Male,5,1.5,0.649,0.598,0.704,2.034,
Toy and Small,Male,5,2,0.742,0.679,0.812,1.759,
Toy and Small,Male,5,2.5,0.822,0.751,0.900,1.553,
Toy and Small,Male,5,3,0.885,0.818,0.958,1.398,
Toy and Small,Male,5,3.5,0.931,0.878,0.988,1.281,
Toy and Small,Male,5,4,0.963,0.930,0.998,1.190,
Toy and Small,Male,5,4.5,0.985,0.970,1.001,1.112,
Toy and Small,Male,5,5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Male,5,5.5,1.008,0.997,1.019,1.080,1.000
Toy and Small,Male,5,6,1.010,0.989,1.030,1.089,1.000
Toy and Small,Male,5.5,0.5,0.487,0.448,0.530,2.668,
Toy and Small,Male,5.5,1,0.555,0.512,0.602,2.370,
Toy and Small,Male,5.5,1.5,0.644,0.590,0.703,2.051,
Toy and Small,Male,5.5,2,0.737,0.668,0.812,1.775,
Toy and Small,Male,5.5,2.5,0.816,0.739,0.901,1.569,
Toy and Small,Male,5.5,3,0.878,0.804,0.960,1.415,
Toy and Small,Male,5.5,3.5,0.924,0.863,0.990,1.300,
Toy and Small,Male,5.5,4,0.956,0.913,1.001,1.213,
Toy and Small,Male,5.5,4.5,0.978,0.952,1.004,1.142,
Toy and Small,Male,5.5,5,0.992,0.981,1.003,1.080,
Toy and Small,Male,5.5,5.5,1.000,1.000,1.000,1.000,1.000
Toy and Small,Male,5.5,6,1.002,0.992,1.012,1.036,1.000
Toy and Small,Male,6,0.5,0.486,0.446,0.530,2.672,
Toy and Small,Male,6,1,0.554,0.510,0.601,2.374,
Toy and Small,Male,6,1.5,0.643,0.587,0.703,2.054,
Toy and Small,Male,6,2,0.735,0.664,0.814,1.779,
Toy and Small,Male,6,2.5,0.814,0.734,0.904,1.572,
Toy and Small,Male,6,3,0.877,0.798,0.963,1.419,
Toy and Small,Male,6,3.5,0.922,0.856,0.994,1.304,
Toy and Small,Male,6,4,0.954,0.905,1.006,1.218,
Toy and Small,Male,6,4.5,0.976,0.943,1.010,1.149,
Toy and Small,Male,6,5,0.990,0.970,1.011,1.089,
Toy and Small,Male,6,5.5,0.998,0.989,1.008,1.036,
Toy and Small,Male,6,6,1.000,1.000,1.000,1.000,1.000
Medium,Female,0.5,0.5,1.000,1.000,1.000,1.000,1.000
Medium,Female,0.5,1,1.234,1.101,1.381,1.582,1.341
Medium,Female,0.5,1.5,1.366,1.201,1.553,1.788,1.527
Medium,Female,0.5,2,1.432,1.240,1.653,1.883,1.593
Medium,Female,0.5,2.5,1.475,1.259,1.727,1.943,1.624
Medium,Female,0.5,3,1.501,1.281,1.758,1.980,1.659
Medium,Female,0.5,3.5,1.515,1.302,1.762,1.999,1.692
Medium,Female,0.5,4,1.521,1.313,1.761,2.007,1.709
Medium,Female,0.5,4.5,1.524,1.313,1.769,2.012,1.709
Medium,Female,0.5,5,1.528,1.310,1.783,2.017,1.703
Medium,Female,0.5,5.5,1.531,1.307,1.794,2.021,1.699
Medium,Female,0.5,6,1.535,1.308,1.801,2.026,1.701
Medium,Female,1,0.5,0.811,0.724,0.908,1.582,
Medium,Female,1,1,1.000,1.000,1.000,1.000,1.000
Medium,Female,1,1.5,1.107,1.043,1.175,1.353,1.204
Medium,Female,1,2,1.161,1.024,1.315,1.456,1.147
Medium,Female,1,2.5,1.195,1.021,1.400,1.518,1.134
Medium,Female,1,3,1.217,1.032,1.434,1.554,1.172
Medium,Female,1,3.5,1.228,1.049,1.438,1.573,1.220
Medium,Female,1,4,1.233,1.062,1.432,1.581,1.253
Medium,Female,1,4.5,1.236,1.067,1.432,1.586,1.265
Medium,Female,1,5,1.239,1.068,1.437,1.590,1.266
Medium,Female,1,5.5,1.242,1.068,1.443,1.595,1.268
Medium,Female,1,6,1.245,1.071,1.447,1.600,1.274
Medium,Female,1.5,0.5,0.732,0.644,0.833,1.788,
Medium,Female,1.5,1,0.903,0.851,0.959,1.353,
Medium,Female,1.5,1.5,1.000,1.000,1.000,1.000,1.000
Medium,Female,1.5,2,1.048,0.977,1.125,1.219,1.000
Medium,Female,1.5,2.5,1.080,0.971,1.200,1.294,1.000
Medium,Female,1.5,3,1.099,0.978,1.235,1.336,1.000
Medium,Female,1.5,3.5,1.109,0.986,1.247,1.357,1.000
Medium,Female,1.5,4,1.114,0.986,1.257,1.366,1.000
Medium,Female,1.5,4.5,1.116,0.979,1.273,1.371,1.000
Medium,Female,1.5,5,1.119,0.970,1.289,1.376,1.000
Medium,Female,1.5,5.5,1.121,0.965,1.302,1.381,1.000
