Breed Size,Sex,Reference Age,Comparison Age,HR,Lower 95%,Upper 95%,E-value,E-value Lower 95%
Large,Male,2.5,0.5,0.914,0.820,1.020,1.325,
Large,Male,2.5,1,0.652,0.589,0.722,2.024,
Large,Male,2.5,1.5,0.708,0.662,0.758,1.855,
Large,Male,2.5,2,0.870,0.850,0.891,1.435,
Large,Male,2.5,2.5,1.000,1.000,1.000,1.000,1.000
Large,Male,2.5,3,1.078,1.058,1.098,1.290,1.244
Large,Male,2.5,3.5,1.110,1.064,1.157,1.359,1.259
Large,Male,2.5,4,1.113,1.039,1.191,1.364,1.193
Large,Male,2.5,4.5,1.106,1.009,1.213,1.351,1.085
Large,Male,2.5,5,1.101,0.988,1.228,1.341,1.000
Large,Male,2.5,5.5,1.099,0.975,1.238,1.336,1.000
Large,Male,2.5,6,1.098,0.969,1.244,1.334,1.000
Large,Male,3,0.5,0.848,0.761,0.946,1.489,
Large,Male,3,1,0.605,0.545,0.672,2.182,
Large,Male,3,1.5,0.657,0.610,0.708,2.008,
Large,Male,3,2,0.807,0.778,0.838,1.590,
Large,Male,3,2.5,0.928,0.911,0.945,1.290,
Large,Male,3,3,1.000,1.000,1.000,1.000,1.000
Large,Male,3,3.5,1.030,1.004,1.056,1.165,1.058
Large,Male,3,4,1.032,0.979,1.089,1.174,1.000
Large,Male,3,4.5,1.026,0.950,1.109,1.154,1.000
Large,Male,3,5,1.022,0.929,1.124,1.139,1.000
Large,Male,3,5.5,1.020,0.917,1.134,1.130,1.000
Large,Male,3,6,1.019,0.910,1.140,1.128,1.000
Large,Male,3.5,0.5,0.824,0.741,0.915,1.549,
Large,Male,3.5,1,0.588,0.532,0.649,2.245,
Large,Male,3.5,1.5,0.638,0.592,0.688,2.069,
Large,Male,3.5,2,0.784,0.744,0.826,1.650,
Large,Male,3.5,2.5,0.901,0.864,0.939,1.359,
Large,Male,3.5,3,0.971,0.947,0.996,1.165,
Large,Male,3.5,3.5,1.000,1.000,1.000,1.000,1.000
Large,Male,3.5,4,1.003,0.975,1.031,1.044,1.000
Large,Male,3.5,4.5,0.997,0.945,1.051,1.050,
Large,Male,3.5,5,0.992,0.925,1.065,1.078,
Large,Male,3.5,5.5,0.990,0.911,1.075,1.091,
Large,Male,3.5,6,0.989,0.904,1.082,1.094,
Large,Male,4,0.5,0.822,0.740,0.913,1.555,
Large,Male,4,1,0.586,0.532,0.645,2.250,
Large,Male,4,1.5,0.637,0.587,0.691,2.074,
Large,Male,4,2,0.782,0.727,0.841,1.655,
Large,Male,4,2.5,0.899,0.839,0.962,1.364,
Large,Male,4,3,0.969,0.919,1.021,1.174,
Large,Male,4,3.5,0.997,0.970,1.026,1.044,
Large,Male,4,4,1.000,1.000,1.000,1.000,1.000
Large,Male,4,4.5,0.994,0.970,1.019,1.068,
Large,Male,4,5,0.990,0.948,1.033,1.091,
Large,Male,4,5.5,0.988,0.934,1.044,1.103,
Large,Male,4,6,0.987,0.926,1.052,1.106,
Large,Male,4.5,0.5,0.826,0.741,0.922,1.543,
Large,Male,4.5,1,0.589,0.535,0.650,2.238,
Large,Male,4.5,1.5,0.640,0.584,0.702,2.062,
Large,Male,4.5,2,0.787,0.716,0.864,1.643,
Large,Male,4.5,2.5,0.904,0.825,0.991,1.351,
Large,Male,4.5,3,0.974,0.902,1.053,1.154,
Large,Male,4.5,3.5,1.003,0.952,1.058,1.050,1.000
Large,Male,4.5,4,1.006,0.981,1.031,1.068,1.000
Large,Male,4.5,4.5,1.000,1.000,1.000,1.000,1.000
Large,Male,4.5,5,0.996,0.978,1.014,1.058,
Large,Male,4.5,5.5,0.993,0.963,1.025,1.073,
Large,Male,4.5,6,0.993,0.953,1.034,1.077,
Large,Male,5,0.5,0.830,0.740,0.931,1.534,
Large,Male,5,1,0.592,0.535,0.655,2.228,
Large,Male,5,1.5,0.643,0.581,0.712,2.053,
Large,Male,5,2,0.790,0.709,0.881,1.634,
Large,Male,5,2.5,0.908,0.814,1.012,1.341,
Large,Male,5,3,0.979,0.890,1.076,1.139,
Large,Male,5,3.5,1.008,0.939,1.082,1.078,1.000
Large,Male,5,4,1.010,0.968,1.055,1.091,1.000
Large,Male,5,4.5,1.004,0.986,1.023,1.058,1.000
Large,Male,5,5,1.000,1.000,1.000,1.000,1.000
Large,Male,5,5.5,0.998,0.984,1.011,1.042,
Large,Male,5,6,0.997,0.973,1.022,1.048,
Large,Male,5.5,0.5,0.832,0.739,0.937,1.529,
Large,Male,5.5,1,0.593,0.535,0.658,2.223,
Large,Male,5.5,1.5,0.645,0.579,0.718,2.048,
Large,Male,5.5,2,0.792,0.704,0.891,1.629,
Large,Male,5.5,2.5,0.910,0.808,1.026,1.336,
Large,Male,5.5,3,0.981,0.882,1.091,1.130,
Large,Male,5.5,3.5,1.010,0.930,1.097,1.091,1.000
Large,Male,5.5,4,1.013,0.958,1.070,1.103,1.000
Large,Male,5.5,4.5,1.007,0.976,1.039,1.073,1.000
Large,Male,5.5,5,1.002,0.989,1.016,1.042,1.000
Large,Male,5.5,5.5,1.000,1.000,1.000,1.000,1.000
Large,Male,5.5,6,0.999,0.988,1.011,1.023,
Large,Male,6,0.5,0.833,0.738,0.939,1.527,
Large,Male,6,1,0.594,0.535,0.659,2.222,
Large,Male,6,1.5,0.645,0.578,0.720,2.047,
Large,Male,6,2,0.793,0.701,0.896,1.628,
Large,Male,6,2.5,0.911,0.804,1.032,1.334,
Large,Male,6,3,0.982,0.877,1.099,1.128,
Large,Male,6,3.5,1.011,0.924,1.106,1.094,1.000
Large,Male,6,4,1.013,0.951,1.080,1.106,1.000
Large,Male,6,4.5,1.007,0.967,1.050,1.077,1.000
Large,Male,6,5,1.003,0.979,1.028,1.048,1.000
Large,Male,6,5.5,1.001,0.989,1.013,1.023,1.000
Large,Male,6,6,1.000,1.000,1.000,1.000,1.000
Giant,Female,0.5,0.5,1.000,1.000,1.000,1.000,1.000
Giant,Female,0.5,1,1.017,0.876,1.180,1.120,1.000
Giant,Female,0.5,1.5,1.173,0.990,1.389,1.478,1.000
Giant,Female,0.5,2,1.368,1.148,1.630,1.791,1.433
Giant,Female,0.5,2.5,1.504,1.251,1.808,1.984,1.610
Giant,Female,0.5,3,1.570,1.306,1.887,2.074,1.698
Giant,Female,0.5,3.5,1.579,1.317,1.892,2.085,1.715
Giant,Female,0.5,4,1.550,1.289,1.864,2.046,1.671
Giant,Female,0.5,4.5,1.506,1.241,1.828,1.987,1.595
Giant,Female,0.5,5,1.461,1.193,1.788,1.924,1.514
Giant,Female,0.5,5.5,1.413,1.149,1.739,1.857,1.434
Giant,Female,0.5,6,1.365,1.107,1.683,1.787,1.354
Giant,Female,1,0.5,0.983,0.847,1.141,1.120,
Giant,Female,1,1,1.000,1.000,1.000,1.000,1.000
Giant,Female,1,1.5,1.153,1.081,1.231,1.443,1.297
Giant,Female,1,2,1.345,1.178,1.536,1.757,1.488
Giant,Female,1,2.5,1.479,1.253,1.746,1.949,1.614
Giant,Female,1,3,1.544,1.301,1.832,2.039,1.690
Giant,Female,1,3.5,1.553,1.317,1.830,2.050,1.714
Giant,Female,1,4,1.524,1.299,1.788,2.012,1.687
Giant,Female,1,4.5,1.481,1.260,1.742,1.953,1.625
Giant,Female,1,5,1.436,1.216,1.697,1.890,1.552
Giant,Female,1,5.5,1.390,1.173,1.647,1.823,1.478
Giant,Female,1,6,1.343,1.132,1.593,1.753,1.402
Giant,Female,1.5,0.5,0.853,0.720,1.010,1.478,
Giant,Female,1.5,1,0.867,0.813,0.925,1.443,
Giant,Female,1.5,1.5,1.000,1.000,1.000,1.000,1.000
Giant,Female,1.5,2,1.166,1.082,1.257,1.466,1.299
Giant,Female,1.5,2.5,1.282,1.146,1.435,1.660,1.429
Giant,Female,1.5,3,1.339,1.183,1.515,1.747,1.496
Giant,Female,1.5,3.5,1.346,1.185,1.529,1.758,1.500
Giant,Female,1.5,4,1.322,1.152,1.516,1.721,1.441
Giant,Female,1.5,4.5,1.284,1.103,1.496,1.664,1.344
Giant,Female,1.5,5,1.245,1.055,1.470,1.601,1.236
Giant,Female,1.5,5.5,1.205,1.013,1.433,1.534,1.104
Giant,Female,1.5,6,1.164,0.975,1.389,1.462,1.000
Giant,Female,2,0.5,0.731,0.614,0.871,1.791,
Giant,Female,2,1,0.743,0.651,0.849,1.757,
Giant,Female,2,1.5,0.857,0.795,0.924,1.466,
Giant,Female,2,2,1.000,1.000,1.000,1.000,1.000
Giant,Female,2,2.5,1.099,1.056,1.145,1.337,1.238
Giant,Female,2,3,1.148,1.078,1.222,1.433,1.292
Giant,Female,2,3.5,1.154,1.057,1.260,1.444,1.241
Giant,Female,2,4,1.133,1.004,1.279,1.405,1.052
Giant,Female,2,4.5,1.101,0.945,1.283,1.341,1.000
Giant,Female,2,5,1.068,0.896,1.272,1.267,1.000
Giant,Female,2,5.5,1.033,0.856,1.247,1.176,1.000
Giant,Female,2,6,0.998,0.823,1.211,1.038,
Giant,Female,2.5,0.5,0.665,0.553,0.799,1.984,
Giant,Female,2.5,1,0.676,0.573,0.798,1.949,
Giant,Female,2.5,1.5,0.780,0.697,0.873,1.660,
Giant,Female,2.5,2,0.910,0.874,0.947,1.337,
Giant,Female,2.5,2.5,1.000,1.000,1.000,1.000,1.000
Giant,Female,2.5,3,1.044,1.012,1.077,1.207,1.101
Giant,Female,2.5,3.5,1.050,0.979,1.125,1.222,1.000
Giant,Female,2.5,4,1.031,0.921,1.153,1.168,1.000
Giant,Female,2.5,4.5,1.002,0.863,1.163,1.036,1.000
Giant,Female,2.5,5,0.971,0.816,1.156,1.165,
Giant,Female,2.5,5.5,0.940,0.778,1.136,1.258,
Giant,Female,2.5,6,0.908,0.746,1.105,1.342,
Giant,Female,3,0.5,0.637,0.530,0.766,2.074,
Giant,Female,3,1,0.648,0.546,0.769,2.039,
Giant,Female,3,1.5,0.747,0.660,0.845,1.747,
Giant,Female,3,2,0.871,0.818,0.927,1.433,
Giant,Female,3,2.5,0.958,0.928,0.988,1.207,
Giant,Female,3,3,1.000,1.000,1.000,1.000,1.000
Giant,Female,3,3.5,1.005,0.965,1.048,1.065,1.000
Giant,Female,3,4,0.987,0.905,1.076,1.104,
Giant,Female,3,4.5,0.959,0.847,1.087,1.202,
Giant,Female,3,5,0.930,0.799,1.082,1.284,
Giant,Female,3,5.5,0.900,0.761,1.065,1.361,
Giant,Female,3,6,0.869,0.728,1.038,1.437,
Giant,Female,3.5,0.5,0.633,0.528,0.759,2.085,
Giant,Female,3.5,1,0.644,0.546,0.759,2.050,
Giant,Female,3.5,1.5,0.743,0.654,0.844,1.758,
Giant,Female,3.5,2,0.866,0.794,0.946,1.444,
Giant,Female,3.5,2.5,0.953,0.889,1.021,1.222,
Giant,Female,3.5,3,0.995,0.954,1.036,1.065,
Giant,Female,3.5,3.5,1.000,1.000,1.000,1.000,1.000
Giant,Female,3.5,4,0.982,0.938,1.028,1.127,
Giant,Female,3.5,4.5,0.954,0.876,1.039,1.218,
Giant,Female,3.5,5,0.925,0.827,1.035,1.297,
Giant,Female,3.5,5.5,0.895,0.786,1.020,1.373,
Giant,Female,3.5,6,0.865,0.750,0.997,1.448,
Giant,Female,4,0.5,0.645,0.536,0.776,2.046,
Giant,Female,4,1,0.656,0.559,0.770,2.012,
Giant,Female,4,1.5,0.757,0.660,0.868,1.721,
Giant,Female,4,2,0.883,0.782,0.996,1.405,
Giant,Female,4,2.5,0.970,0.867,1.086,1.168,
Giant,Female,4,3,1.013,0.929,1.105,1.104,1.000
Giant,Female,4,3.5,1.019,0.973,1.066,1.127,1.000
Giant,Female,4,4,1.000,1.000,1.000,1.000,1.000
Giant,Female,4,4.5,0.972,0.934,1.011,1.163,
Giant,Female,4,5,0.942,0.881,1.008,1.251,
Giant,Female,4,5.5,0.912,0.836,0.995,1.332,
Giant,Female,4,6,0.881,0.795,0.976,1.409,
Giant,Female,4.5,0.5,0.664,0.547,0.806,1.987,
Giant,Female,4.5,1,0.675,0.574,0.794,1.953,
Giant,Female,4.5,1.5,0.779,0.668,0.907,1.664,
Giant,Female,4.5,2,0.908,0.779,1.058,1.341,
Giant,Female,4.5,2.5,0.998,0.860,1.159,1.036,
Giant,Female,4.5,3,1.042,0.920,1.181,1.202,1.000
Giant,Female,4.5,3.5,1.048,0.963,1.141,1.218,1.000
Giant,Female,4.5,4,1.029,0.989,1.070,1.163,1.000
Giant,Female,4.5,4.5,1.000,1.000,1.000,1.000,1.000
Giant,Female,4.5,5,0.969,0.942,0.998,1.171,
Giant,Female,4.5,5.5,0.938,0.892,0.987,1.263,
Giant,Female,4.5,6,0.906,0.845,0.972,1.346,
Giant,Female,5,0.5,0.685,0.559,0.838,1.924,
Giant,Female,5,1,0.696,0.589,0.823,1.890,
Giant,Female,5,1.5,0.803,0.680,0.948,1.601,
Giant,Female,5,2,0.937,0.786,1.116,1.267,
Giant,Female,5,2.5,1.030,0.865,1.226,1.165,1.000
Giant,Female,5,3,1.075,0.924,1.251,1.284,1.000
Giant,Female,5,3.5,1.081,0.966,1.209,1.297,1.000
Giant,Female,5,4,1.061,0.992,1.136,1.251,1.000
Giant,Female,5,4.5,1.031,1.002,1.062,1.171,1.039
Giant,Female,5,5,1.000,1.000,1.000,1.000,1.000
Giant,Female,5,5.5,0.968,0.945,0.991,1.177,
Giant,Female,5,6,0.935,0.893,0.979,1.272,
Giant,Female,5.5,0.5,0.708,0.575,0.871,1.857,
Giant,Female,5.5,1,0.720,0.607,0.853,1.823,
Giant,Female,5.5,1.5,0.830,0.698,0.987,1.534,
Giant,Female,5.5,2,0.968,0.802,1.168,1.176,
Giant,Female,5.5,2.5,1.064,0.881,1.286,1.258,1.000
Giant,Female,5.5,3,1.111,0.939,1.314,1.361,1.000
Giant,Female,5.5,3.5,1.117,0.981,1.272,1.373,1.000
Giant,Female,5.5,4,1.097,1.005,1.197,1.332,1.062
Giant,Female,5.5,4.5,1.066,1.013,1.122,1.263,1.105
Giant,Female,5.5,5,1.033,1.010,1.058,1.177,1.088
Giant,Female,5.5,5.5,1.000,1.000,1.000,1.000,1.000
Giant,Female,5.5,6,0.966,0.943,0.990,1.182,
Giant,Female,6,0.5,0.732,0.594,0.903,1.787,
Giant,Female,6,1,0.745,0.628,0.884,1.753,
Giant,Female,6,1.5,0.859,0.720,1.025,1.462,
Giant,Female,6,2,1.002,0.826,1.216,1.038,1.000
Giant,Female,6,2.5,1.102,0.905,1.341,1.342,1.000
Giant,Female,6,3,1.150,0.964,1.373,1.437,1.000
Giant,Female,6,3.5,1.156,1.003,1.333,1.448,1.052
Giant,Female,6,4,1.135,1.025,1.258,1.409,1.148
Giant,Female,6,4.5,1.103,1.028,1.184,1.346,1.161
Giant,Female,6,5,1.070,1.021,1.120,1.272,1.138
Giant,Female,6,5.5,1.035,1.010,1.061,1.182,1.092
Giant,Female,6,6,1.000,1.000,1.000,1.000,1.000
Giant,Male,0.5,0.5,1.000,1.000,1.000,1.000,1.000
Giant,Male,0.5,1,0.967,0.834,1.121,1.179,
Giant,Male,0.5,1.5,1.153,0.975,1.363,1.442,1.000
Giant,Male,0.5,2,1.430,1.204,1.699,1.881,1.532
Giant,Male,0.5,2.5,1.656,1.382,1.985,2.186,1.812
Giant,Male,0.5,3,1.803,1.505,2.159,2.370,1.985
Giant,Male,0.5,3.5,1.872,1.567,2.236,2.455,2.069
Giant,Male,0.5,4,1.883,1.570,2.258,2.468,2.073
Giant,Male,0.5,4.5,1.862,1.538,2.256,2.443,2.030
Giant,Male,0.5,5,1.827,1.495,2.233,2.401,1.972
Giant,Male,0.5,5.5,1.780,1.449,2.187,2.343,1.908
Giant,Male,0.5,6,1.724,1.401,2.122,2.273,1.839
Giant,Male,1,0.5,1.034,0.892,1.199,1.179,1.000
Giant,Male,1,1,1.000,1.000,1.000,1.000,1.000
Giant,Male,1,1.5,1.193,1.119,1.271,1.513,1.378
Giant,Male,1,2,1.479,1.300,1.683,1.950,1.688
Giant,Male,1,2.5,1.713,1.458,2.014,2.259,1.920
Giant,Male,1,3,1.865,1.578,2.203,2.446,2.084
Giant,Male,1,3.5,1.936,1.650,2.272,2.531,2.178
Giant,Male,1,4,1.947,1.666,2.276,2.545,2.199
Giant,Male,1,4.5,1.926,1.644,2.258,2.520,2.170
Giant,Male,1,5,1.890,1.605,2.226,2.476,2.119
Giant,Male,1,5.5,1.842,1.559,2.176,2.418,2.058
Giant,Male,1,6,1.783,1.508,2.109,2.347,1.989
Giant,Male,1.5,0.5,0.867,0.733,1.025,1.442,
Giant,Male,1.5,1,0.838,0.787,0.893,1.513,
Giant,Male,1.5,1.5,1.000,1.000,1.000,1.000,1.000
Giant,Male,1.5,2,1.240,1.152,1.335,1.593,1.441
Giant,Male,1.5,2.5,1.436,1.287,1.603,1.890,1.668
Giant,Male,1.5,3,1.563,1.386,1.763,2.064,1.817
Giant,Male,1.5,3.5,1.623,1.434,1.838,2.143,1.886
Giant,Male,1.5,4,1.633,1.427,1.868,2.156,1.877
Giant,Male,1.5,4.5,1.615,1.390,1.877,2.133,1.823
Giant,Male,1.5,5,1.585,1.346,1.866,2.093,1.758
Giant,Male,1.5,5.5,1.544,1.301,1.832,2.038,1.690
Giant,Male,1.5,6,1.495,1.256,1.780,1.972,1.619
Giant,Male,2,0.5,0.699,0.589,0.831,1.881,
Giant,Male,2,1,0.676,0.594,0.769,1.950,
Giant,Male,2,1.5,0.806,0.749,0.868,1.593,
Giant,Male,2,2,1.000,1.000,1.000,1.000,1.000
Giant,Male,2,2.5,1.158,1.114,1.205,1.452,1.366
Giant,Male,2,3,1.261,1.186,1.340,1.626,1.501
Giant,Male,2,3.5,1.309,1.200,1.428,1.702,1.526
Giant,Male,2,4,1.317,1.168,1.485,1.714,1.469
Giant,Male,2,4.5,1.302,1.119,1.515,1.692,1.378
Giant,Male,2,5,1.278,1.075,1.520,1.654,1.283
Giant,Male,2,5.5,1.245,1.034,1.499,1.601,1.178
Giant,Male,2,6,1.206,0.996,1.460,1.535,1.000
Giant,Male,2.5,0.5,0.604,0.504,0.723,2.186,
Giant,Male,2.5,1,0.584,0.497,0.686,2.259,
Giant,Male,2.5,1.5,0.696,0.624,0.777,1.890,
Giant,Male,2.5,2,0.863,0.830,0.898,1.452,
Giant,Male,2.5,2.5,1.000,1.000,1.000,1.000,1.000
Giant,Male,2.5,3,1.088,1.055,1.122,1.314,1.237
Giant,Male,2.5,3.5,1.130,1.055,1.211,1.399,1.236
Giant,Male,2.5,4,1.137,1.017,1.271,1.411,1.120
Giant,Male,2.5,4.5,1.124,0.970,1.304,1.388,1.000
Giant,Male,2.5,5,1.103,0.928,1.311,1.345,1.000
Giant,Male,2.5,5.5,1.075,0.891,1.296,1.284,1.000
Giant,Male,2.5,6,1.041,0.857,1.264,1.198,1.000
Giant,Male,3,0.5,0.555,0.463,0.664,2.370,
Giant,Male,3,1,0.536,0.454,0.634,2.446,
Giant,Male,3,1.5,0.640,0.567,0.722,2.064,
Giant,Male,3,2,0.793,0.746,0.843,1.626,
Giant,Male,3,2.5,0.919,0.891,0.947,1.314,
Giant,Male,3,3,1.000,1.000,1.000,1.000,1.000
Giant,Male,3,3.5,1.038,0.997,1.082,1.191,1.000
Giant,Male,3,4,1.044,0.959,1.138,1.208,1.000
Giant,Male,3,4.5,1.033,0.913,1.169,1.176,1.000
Giant,Male,3,5,1.014,0.873,1.177,1.107,1.000
Giant,Male,3,5.5,0.988,0.837,1.166,1.102,
Giant,Male,3,6,0.956,0.803,1.139,1.211,
Giant,Male,3.5,0.5,0.534,0.447,0.638,2.455,
Giant,Male,3.5,1,0.517,0.440,0.606,2.531,
Giant,Male,3.5,1.5,0.616,0.544,0.698,2.143,
Giant,Male,3.5,2,0.764,0.700,0.833,1.702,
Giant,Male,3.5,2.5,0.885,0.826,0.948,1.399,
Giant,Male,3.5,3,0.963,0.924,1.003,1.191,
Giant,Male,3.5,3.5,1.000,1.000,1.000,1.000,1.000
Giant,Male,3.5,4,1.006,0.961,1.053,1.068,1.000
Giant,Male,3.5,4.5,0.995,0.915,1.082,1.063,
Giant,Male,3.5,5,0.976,0.874,1.091,1.148,
Giant,Male,3.5,5.5,0.951,0.837,1.081,1.227,
Giant,Male,3.5,6,0.921,0.801,1.059,1.308,
Giant,Male,4,0.5,0.531,0.443,0.637,2.468,
Giant,Male,4,1,0.513,0.439,0.600,2.545,
Giant,Male,4,1.5,0.612,0.535,0.701,2.156,
Giant,Male,4,2,0.759,0.674,0.856,1.714,
Giant,Male,4,2.5,0.880,0.787,0.983,1.411,
Giant,Male,4,3,0.957,0.879,1.043,1.208,
Giant,Male,4,3.5,0.994,0.950,1.040,1.068,
Giant,Male,4,4,1.000,1.000,1.000,1.000,1.000
Giant,Male,4,4.5,0.989,0.951,1.029,1.095,
Giant,Male,4,5,0.971,0.908,1.038,1.167,
Giant,Male,4,5.5,0.946,0.868,1.031,1.242,
Giant,Male,4,6,0.916,0.828,1.013,1.322,
Giant,Male,4.5,0.5,0.537,0.443,0.650,2.443,
Giant,Male,4.5,1,0.519,0.443,0.608,2.520,
Giant,Male,4.5,1.5,0.619,0.533,0.719,2.133,
Giant,Male,4.5,2,0.768,0.660,0.893,1.692,
Giant,Male,4.5,2.5,0.889,0.767,1.031,1.388,
Giant,Male,4.5,3,0.968,0.855,1.096,1.176,
Giant,Male,4.5,3.5,1.005,0.924,1.093,1.063,1.000
Giant,Male,4.5,4,1.011,0.972,1.051,1.095,1.000
Giant,Male,4.5,4.5,1.000,1.000,1.000,1.000,1.000
Giant,Male,4.5,5,0.981,0.954,1.010,1.129,
Giant,Male,4.5,5.5,0.956,0.909,1.005,1.213,
Giant,Male,4.5,6,0.926,0.864,0.992,1.296,
Giant,Male,5,0.5,0.547,0.448,0.669,2.401,
Giant,Male,5,1,0.529,0.449,0.623,2.476,
Giant,Male,5,1.5,0.631,0.536,0.743,2.093,
Giant,Male,5,2,0.783,0.658,0.931,1.654,
Giant,Male,5,2.5,0.906,0.763,1.077,1.345,
Giant,Male,5,3,0.987,0.849,1.146,1.107,
Giant,Male,5,3.5,1.024,0.917,1.145,1.148,1.000
Giant,Male,5,4,1.030,0.964,1.102,1.167,1.000
Giant,Male,5,4.5,1.019,0.991,1.049,1.129,1.000
Giant,Male,5,5,1.000,1.000,1.000,1.000,1.000
Giant,Male,5,5.5,0.974,0.952,0.997,1.154,
Giant,Male,5,6,0.944,0.901,0.988,1.248,
Giant,Male,5.5,0.5,0.562,0.457,0.690,2.343,
Giant,Male,5.5,1,0.543,0.460,0.642,2.418,
Giant,Male,5.5,1.5,0.648,0.546,0.769,2.038,
Giant,Male,5.5,2,0.803,0.667,0.967,1.601,
Giant,Male,5.5,2.5,0.930,0.771,1.122,1.284,
Giant,Male,5.5,3,1.013,0.858,1.195,1.102,1.000
Giant,Male,5.5,3.5,1.051,0.925,1.195,1.227,1.000
Giant,Male,5.5,4,1.058,0.970,1.153,1.242,1.000
Giant,Male,5.5,4.5,1.046,0.995,1.100,1.213,1.000
Giant,Male,5.5,5,1.026,1.003,1.050,1.154,1.047
Giant,Male,5.5,5.5,1.000,1.000,1.000,1.000,1.000
Giant,Male,5.5,6,0.968,0.945,0.992,1.174,
Giant,Male,6,0.5,0.580,0.471,0.714,2.273,
Giant,Male,6,1,0.561,0.474,0.663,2.347,
Giant,Male,6,1.5,0.669,0.562,0.796,1.972,
Giant,Male,6,2,0.829,0.685,1.004,1.535,
Giant,Male,6,2.5,0.961,0.791,1.167,1.198,
Giant,Male,6,3,1.046,0.878,1.245,1.211,1.000
Giant,Male,6,3.5,1.086,0.944,1.249,1.308,1.000
Giant,Male,6,4,1.092,0.987,1.208,1.322,1.000
Giant,Male,6,4.5,1.080,1.008,1.158,1.296,1.078
Giant,Male,6,5,1.060,1.012,1.109,1.248,1.102
Giant,Male,6,5.5,1.033,1.008,1.058,1.174,1.080
Giant,Male,6,6,1.000,1.000,1.000,1.000,1.000
